Domain,IP,Status,Subject,Issuer,ValidTo
amazon.rest,18.185.24.46,TLS ERROR,,,
amazon.pk,35.71.184.76,OK,ammzon.com,Amazon RSA 2048 M02,2025-11-25
amazon.racing,3.126.5.188,TLS ERROR,,,
amazon.rodeo,3.71.139.153,TLS ERROR,,,
amazon.ng,137.184.98.235,TLS ERROR,,,
amazon.rip,18.185.24.46,TLS ERROR,,,
amazon.rocks,3.126.5.188,TLS ERROR,,,
amazon.ro,15.197.192.1,OK,amazonglobal.de,Amazon RSA 2048 M02,2026-01-08
amazon.productions,3.126.5.188,TLS ERROR,,,
amazon.rs,3.33.230.83,OK,www.amazon.cz,Amazon RSA 2048 M03,2026-05-08
amazon.ryukyu,3.71.139.153,TLS ERROR,,,
amazon.ruhr,3.126.5.188,TLS ERROR,,,
amazon.run,3.71.139.153,TLS ERROR,,,
amazon.republican,3.126.5.188,TLS ERROR,,,
amazon.nyc,3.33.139.32,TLS ERROR,,,
amazon.reviews,3.71.139.153,TLS ERROR,,,
amazon.sa,52.95.123.165,OK,www.amazon.sa,Amazon RSA 2048 M01,2025-07-25
amazon.rw,52.223.38.30,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.sale,18.185.24.46,TLS ERROR,,,
amazon.salon,3.126.5.188,TLS ERROR,,,
amazon.sarl,3.126.5.188,TLS ERROR,,,
amazon.school,3.71.139.153,TLS ERROR,,,
amazon.schule,3.126.5.188,TLS ERROR,,,
amazon.sc,3.71.139.153,TLS ERROR,,,
amazon.science,18.161.111.29,OK,www.amazon.science,Amazon RSA 2048 M02,2026-03-07
amazon.se,52.95.123.232,OK,www.amazon.se,Amazon RSA 2048 M01,2025-07-24
amazon.sd,184.154.215.138,OK,*.amazon.sd,R10,2025-06-27
amazon.select,3.126.5.188,TLS ERROR,,,
amazon.saarland,3.71.139.153,TLS ERROR,,,
amazon.services,3.126.5.188,TLS ERROR,,,
amazon.restaurant,18.185.24.46,TLS ERROR,,,
amazon.sexy,3.71.139.153,TLS ERROR,,,
amazon.sh,15.197.156.59,OK,aws.amazon.co.uk,Amazon RSA 2048 M03,2026-05-15
amazon.show,3.126.5.188,TLS ERROR,,,
amazon.shoes,18.185.24.46,TLS ERROR,,,
amazon.site,18.185.24.46,TLS ERROR,,,
amazon.photography,3.33.139.32,TLS ERROR,,,
amazon.singles,3.71.139.153,TLS ERROR,,,
amazon.si,3.33.230.83,OK,amazonglobal.de,Amazon RSA 2048 M02,2026-01-08
amazon.sg,15.197.251.41,OK,amazon.sg,Amazon RSA 2048 M02,2026-03-07
amazon.pink,3.33.139.32,TLS ERROR,,,
amazon.skin,3.126.5.188,TLS ERROR,,,
amazon.software,18.185.24.46,TLS ERROR,,,
amazon.pn,3.33.139.32,TLS ERROR,,,
amazon.sn,35.71.184.76,OK,www.amazonmembers.com,Amazon RSA 2048 M02,2025-11-25
amazon.so,3.126.5.188,TLS ERROR,,,
amazon.soccer,18.185.24.46,TLS ERROR,,,
amazon.solutions,3.71.139.153,TLS ERROR,,,
amazon.soy,3.126.5.188,TLS ERROR,,,
amazon.space,18.185.24.46,TLS ERROR,,,
amazon.spot,3.126.5.188,TLS ERROR,,,
amazon.srl,18.185.24.46,TLS ERROR,,,
amazon.shop,3.126.5.188,TLS ERROR,,,
amazon.ski,3.71.139.153,TLS ERROR,,,
amazon.supply,3.126.5.188,TLS ERROR,,,
amazon.store,18.185.24.46,TLS ERROR,,,
amazon.studio,3.71.139.153,TLS ERROR,,,
amazon.study,3.126.5.188,TLS ERROR,,,
amazon.qpon,3.33.139.32,TLS ERROR,,,
amazon.supplies,3.126.5.188,TLS ERROR,,,
amazon.support,3.71.139.153,TLS ERROR,,,
amazon.sydney,18.185.24.46,TLS ERROR,,,
amazon.surf,18.185.24.46,TLS ERROR,,,
amazon.sv,3.126.5.188,TLS ERROR,,,
amazon.sx,18.185.24.46,TLS ERROR,,,
amazon.systems,18.185.24.46,TLS ERROR,,,
amazon.taipei,18.185.24.46,TLS ERROR,,,
amazon.tatar,18.185.24.46,TLS ERROR,,,
amazon.red,3.33.139.32,TLS ERROR,,,
amazon.team,3.71.139.153,TLS ERROR,,,
amazon.taxi,3.126.5.188,TLS ERROR,,,
amazon.technology,18.185.24.46,TLS ERROR,,,
amazon.tg,3.126.5.188,TLS ERROR,,,
amazon.tf,15.197.156.59,OK,aws.amazon.co.uk,Amazon RSA 2048 M03,2026-05-15
amazon.tennis,3.126.5.188,TLS ERROR,,,
amazon.theater,3.71.139.153,TLS ERROR,,,
amazon.surgery,3.71.139.153,TLS ERROR,,,
amazon.theatre,3.71.139.153,TLS ERROR,,,
amazon.tienda,3.71.139.153,TLS ERROR,,,
amazon.tickets,3.126.5.188,TLS ERROR,,,
amazon.tax,3.71.139.153,TLS ERROR,,,
amazon.tirol,18.185.24.46,TLS ERROR,,,
amazon.shopping,3.126.5.188,TLS ERROR,,,
amazon.tj,52.223.38.30,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.today,18.185.24.46,TLS ERROR,,,
amazon.tk,35.71.184.76,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.th,3.126.5.188,TLS ERROR,,,
amazon.tools,3.126.5.188,TLS ERROR,,,
amazon.tm,35.71.184.76,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.to,52.223.38.30,OK,www.amazonmembers.com,Amazon RSA 2048 M02,2025-11-25
amazon.swiss,3.71.139.153,TLS ERROR,,,
amazon.tips,3.126.5.188,TLS ERROR,,,
amazon.tires,3.126.5.188,TLS ERROR,,,
amazon.tours,3.71.139.153,TLS ERROR,,,
amazon.town,18.185.24.46,TLS ERROR,,,
amazon.toys,18.185.24.46,TLS ERROR,,,
amazon.trade,18.185.24.46,TLS ERROR,,,
amazon.travel,64.190.63.222,OK,amazon.travel,Encryption Everywhere DV TLS CA - G2,2026-04-20
amazon.td,18.185.24.46,TLS ERROR,,,
amazon.tokyo,18.185.24.46,TLS ERROR,,,
amazon.ua,3.33.230.83,OK,amazonglobal.de,Amazon RSA 2048 M02,2026-01-08
amazon.ug,3.126.5.188,TLS ERROR,,,
amazon.tv,3.33.147.88,OK,www.egghead.com,Amazon RSA 2048 M02,2025-06-03
amazon.tw,15.197.140.28,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.uy,104.21.64.1,OK,amazon.uy,WE1,2025-06-22
amazon.shiksha,3.33.139.32,TLS ERROR,,,
amazon.university,3.126.5.188,TLS ERROR,,,
amazon.us,18.185.24.46,TLS ERROR,,,
amazon.training,3.71.139.153,TLS ERROR,,,
amazon.trading,3.126.5.188,TLS ERROR,,,
amazon.tattoo,18.185.24.46,TLS ERROR,,,
amazon.tl,52.223.38.30,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.vg,15.197.156.59,OK,aws.amazon.co.uk,Amazon RSA 2048 M03,2026-05-15
amazon.versicherung,18.185.24.46,TLS ERROR,,,
amazon.uz,35.71.184.76,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.ventures,3.126.5.188,TLS ERROR,,,
amazon.vet,3.126.5.188,TLS ERROR,,,
amazon.video,18.185.24.46,TLS ERROR,,,
amazon.vip,18.185.24.46,TLS ERROR,,,
amazon.solar,3.33.139.32,TLS ERROR,,,
amazon.villas,3.126.5.188,TLS ERROR,,,
amazon.vin,3.71.139.153,TLS ERROR,,,
amazon.st,87.238.85.130,TLS ERROR,,,
amazon.vision,18.185.24.46,TLS ERROR,,,
amazon.vlaanderen,18.185.24.46,TLS ERROR,,,
amazon.vodka,3.71.139.153,TLS ERROR,,,
amazon.vn,3.33.147.88,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.vegas,18.185.24.46,TLS ERROR,,,
amazon.voyage,3.71.139.153,TLS ERROR,,,
amazon.vu,3.126.5.188,TLS ERROR,,,
amazon.watch,3.126.5.188,TLS ERROR,,,
amazon.tt,15.197.140.28,OK,amazonfashion.com,Amazon RSA 2048 M03,2025-11-29
amazon.vi,18.185.24.46,TLS ERROR,,,
amazon.tc,72.21.206.80,TLS ERROR,,,
amazon.website,3.71.139.153,TLS ERROR,,,
amazon.watches,3.126.5.188,TLS ERROR,,,
amazon.webcam,3.126.5.188,TLS ERROR,,,
amazon.wedding,18.185.24.46,TLS ERROR,,,
amazon.wf,18.185.24.46,TLS ERROR,,,
amazon.whoswho,18.185.24.46,TLS ERROR,,,
amazon.wien,3.71.139.153,TLS ERROR,,,
amazon.wine,3.71.139.153,TLS ERROR,,,
amazon.win,18.185.24.46,TLS ERROR,,,
amazon.vacations,3.71.139.153,TLS ERROR,,,
amazon.world,18.185.24.46,TLS ERROR,,,
amazon.viajes,3.126.5.188,TLS ERROR,,,
amazon.wang,3.126.5.188,TLS ERROR,,,
amazon.wtf,3.71.139.153,TLS ERROR,,,
amazon.xyz,18.185.24.46,TLS ERROR,,,
amazon.work,15.197.171.15,OK,acx.audible.com,Amazon RSA 2048 M02,2026-05-07
amazon.yoga,3.126.5.188,TLS ERROR,,,
amazon.yachts,18.185.24.46,TLS ERROR,,,
amazon.yokohama,3.126.5.188,TLS ERROR,,,
amazon.yt,3.126.5.188,TLS ERROR,,,
amazon.voting,64.190.63.222,OK,amazon.voting,Encryption Everywhere DV TLS CA - G2,2026-04-20
amazon.voto,3.126.5.188,TLS ERROR,,,
amazon.zone,3.126.5.188,TLS ERROR,,,
amazon.wales,3.71.139.153,TLS ERROR,,,
amazon.works,3.71.139.153,TLS ERROR,,,
amazon.xin,172.67.211.28,OK,amazon.xin,WE1,2025-07-17
amazon.ws,52.223.38.30,OK,pepsistuff.amazon.com,Amazon RSA 2048 M03,2025-12-01
amazon.uno,3.33.139.32,TLS ERROR,,,
amazon.vc,164.152.28.181,TLS ERROR,,,
